[1/112] AAPL: 1254 rows, 2021-08-25 to 2026-08-24
[79/112] ROKU: 1254 rows, 2021-08-25 to 2026-08-24
[80/112] RTX: 1254 rows, 2021-08-25 to 2026-08-24
[81/112] SBUX: 1254 rows, 2021-08-25 to 2026-08-24
[82/112] SCHW: 1254 rows, 2021-08-25 to 2026-08-24
[83/112] SLB: 1254 rows, 2021-08-25 to 2026-08-24
[84/112] SMCI: 1254 rows, 2021-08-25 to 2026-08-24
[85/112] SNOW: 1254 rows, 2021-08-25 to 2026-08-24
[86/112] SOFI: 1254 rows, 2021-08-25 to 2026-08-24
[87/112] SPY: 1254 rows, 2021-08-25 to 2026-08-24
[88/112] T: 1254 rows, 2021-08-25 to 2026-08-24
[89/112] TFC: 1254 rows, 2021-08-25 to 2026-08-24
[90/112] TGT: 1254 rows, 2021-08-25 to 2026-08-24
[91/112] TLT: 1254 rows, 2021-08-25 to 2026-08-24
[92/112] TMO: 1254 rows, 2021-08-25 to 2026-08-24
[93/112] TSLA: 1254 rows, 2021-08-25 to 2026-08-24
[94/112] TXN: 1254 rows, 2021-08-25 to 2026-08-24
[95/112] UAL: 1254 rows, 2021-08-25 to 2026-08-24
[96/112] UBER: 1254 rows, 2021-08-25 to 2026-08-24
[97/112] UNH: 1254 rows, 2021-08-25 to 2026-08-24
[98/112] UPS: 1254 rows, 2021-08-25 to 2026-08-24
[99/112] V: 1254 rows, 2021-08-25 to 2026-08-24
[100/112] VLO: 1254 rows, 2021-08-25 to 2026-08-24
[101/112] VRTX: 1254 rows, 2021-08-25 to 2026-08-24
[102/112] VZ: 1254 rows, 2021-08-25 to 2026-08-24
[103/112] WFC: 1254 rows, 2021-08-25 to 2026-08-24
[104/112] WMT: 1254 rows, 2021-08-25 to 2026-08-24
[105/112] XLE: 1254 rows, 2021-08-25 to 2026-08-24
[106/112] XLF: 1254 rows, 2021-08-25 to 2026-08-24
[107/112] XLI: 1254 rows, 2021-08-25 to 2026-08-24
[108/112] XLK: 1254 rows, 2021-08-25 to 2026-08-24
[109/112] XLV: 1254 rows, 2021-08-25 to 2026-08-24
[110/112] XOM: 1254 rows, 2021-08-25 to 2026-08-24
[111/112] XYZ: 1254 rows, 2021-08-25 to 2026-08-24
[112/112] ZS: 1254 rows, 2021-08-25 to 2026-08-24

Saved 112/112 tickers to C:\Projects\GenAI-Projects\ibkr_trader\backend\breakout_research\universe_5y_ohlcv.pkl
